縣市別,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得
臺 北 市,856961,1094789841,6216588,26412513,677644966,33435059,44549281,5208209,1222744,261283578
高 雄 市,734674,531632255,3772486,14455285,387382660,16543577,12151887,1892984,713703,69709828
臺 中 市,775146,594138692,2846920,14498526,399484448,16968063,18283070,2528942,857267,103308421
基 隆 市,107326,68301270,341927,1475592,54738324,1918551,1237258,156690,108024,5533363
臺 南 市,479412,359412304,2242976,7335835,258951639,9933050,6679585,982051,531189,52459194
嘉 義 市,68096,49095275,387003,1221004,34951253,1880917,1107672,95220,59777,6408527
新 竹 市,137408,186600243,728018,2049108,141310197,3839395,2777551,836541,284561,24533005
新 北 市,1200122,941377780,4607690,18665784,702025657,26373606,24170124,3999588,1617882,117688977
宜 蘭 縣,112574,69946279,789575,1760338,52481169,2091756,1388975,248242,106500,7116805
桃 園 市,658935,504826897,2585548,10482782,386919223,12735507,11113044,1897053,800733,53862447
新 竹 縣,170318,199373082,587128,2187486,159231250,3370318,2755684,713389,340111,17290256
苗 栗 縣,145321,99837649,503684,1938436,79024906,2374663,1335833,148963,171612,8699257
南 投 縣,103336,60760203,343048,1344481,44896239,1968177,1182237,141480,86883,6944117
彰 化 縣,304136,191493819,1325480,3642106,129941457,5782332,4108851,338803,261960,32764356
雲 林 縣,136690,87034208,642516,1800949,63682527,2611838,1456009,141049,118492,10703215
嘉 義 縣,96839,57968873,564936,1151177,44093181,1694309,851638,71963,82746,6160517
屏 東 縣,163161,95480703,724456,2100924,73874680,2941092,1739149,171551,141918,7877759
花 蓮 縣,75017,44656719,535640,1603505,33878468,1409009,917200,89910,59132,3734969
臺 東 縣,40927,23783209,286341,503924,18597739,712809,402849,39537,35446,1756816
澎 湖 縣,27216,18810320,173452,244713,15232456,591994,224772,26671,22473,1356954
金 門 縣,43558,32203302,300612,640165,25656773,1192731,405692,68166,52727,2540367
連 江 縣,4793,3781683,43179,52803,3226817,91695,46592,4790,3729,233960
合 計,6441966,5315304604,30549202,115567436,3787226027,150460448,138884952,19801790,7679609,801966687
